SAMPLE_ID,TIMP1,TIMP2,TIMP3,TIMP4,SERPINE1,SERPINB2
TCGA-3N-A9WB-06,-0.574,1.2535,0.2051,-1.0467,-1.1691,0.0549
TCGA-3N-A9WC-06,0.3717,0.6646,0.2248,-0.6704,0.2496,-0.9057
TCGA-3N-A9WD-06,0.2179,-2.4008,-0.0037,0.8099,-0.0082,1.1015
TCGA-BF-AAP0-06,1.049,-0.2821,0.4018,-0.7755,0.2304,-1.2299
TCGA-D3-A1Q1-06,-0.9402,-0.5556,1.4624,0.8951,-0.7842,-1.025
TCGA-D3-A1Q3-06,-0.4046,1.6502,-1.487,-1.0183,-0.1619,-1.3029
TCGA-D3-A1Q4-06,0.2935,0.3136,1.5648,1.104,1.2718,-0.4817
TCGA-D3-A1Q5-06,1.7762,-1.8047,1.3495,-0.215,0.4519,-0.2919
TCGA-D3-A1Q6-06,1.7588,-2.5277,2.5226,1.2014,2.0737,1.9328
TCGA-D3-A1Q7-06,-0.1755,-0.3976,0.3692,0.8332,1.0282,-0.342
TCGA-D3-A1Q8-06,1.0437,-0.2982,0.9362,0.9736,1.0973,-0.8259
TCGA-D3-A1Q9-06,-0.0523,-0.0183,0.8617,0.9346,-0.1569,-0.4195
TCGA-D3-A1QA-06,-1.0793,1.0013,-2.538,-1.1859,-0.5819,-0.8338
TCGA-D3-A1QB-06,-1.0529,-0.1879,0.4465,-1.1266,-0.7327,-1.265
TCGA-D3-A2J6-06,-0.8877,0.4778,-0.6663,-1.1081,-0.7348,-1.1405
TCGA-D3-A2J7-06,0.6575,0.8721,0.5725,-0.3617,-0.6003,-0.8255
TCGA-D3-A2J8-06,0.3787,-0.9844,0.015,-0.0667,3.5386,2.2784
TCGA-D3-A2J9-06,0.8342,-1.3201,0.0387,-0.9523,1.0138,-0.8136
TCGA-D3-A2JA-06,1.3057,-0.687,2.5636,1.9564,1.7351,0.8084
TCGA-D3-A2JB-06,-0.4842,-0.4317,0.4821,-0.3988,-0.2925,-0.8928
TCGA-D3-A2JC-06,1.0618,0.6466,0.3554,2.3112,0.4596,1.161
TCGA-D3-A2JD-06,0.8421,1.5814,0.6711,0.6213,0.09,-0.7955
TCGA-D3-A2JE-06,-0.7192,-1.3528,-1.7039,-1.2674,-0.2371,-1.2532
TCGA-D3-A2JF-06,2.3699,0.6484,1.1333,-0.4523,-0.983,-0.7465
TCGA-D3-A2JG-06,-0.0557,-0.415,-0.4078,-0.9268,1.0884,0.5035
TCGA-D3-A2JH-06,-0.933,-1.295,0.4994,-0.5232,0.5655,-0.4656
TCGA-D3-A2JK-06,2.2083,1.2452,0.0404,-0.3132,0.1591,0.0599
TCGA-D3-A2JL-06,0.2258,0.024,0.5126,-1.0523,-1.163,-1.4068
TCGA-D3-A2JN-06,2.5366,-1.4035,0.4414,-1.4844,0.3703,-0.5283
TCGA-D3-A2JO-06,0.3005,-0.6694,-0.7236,-0.7331,0.2478,-0.018
TCGA-D3-A2JP-06,2.0668,-0.8403,-1.2958,0.7992,0.9393,-0.8611
TCGA-D3-A3BZ-06,1.1195,0.2999,0.8174,1.0101,2.2631,-0.3433
TCGA-D3-A3C1-06,2.225,0.1042,-0.4378,-0.4931,0.9947,0.9949
