SAMPLE_ID,PLAT,PLAU,CTSA,CTSB,CTSD,CTSH,MMP1,MMP2,MMP9,MMP10,MMP12,MMP13,MMP14,MMP15,MMP16,MMP17,MMP19,MMP21,ADAM10,ADAM12,ADAM15
TCGA-3N-A9WB-06,0.2371,-0.9811,0.5487,0.834,-0.9143,1.7946,0.7534,-0.6541,-0.9542,-0.0513,-1.5777,0.0334,0.0848,-0.3626,-0.4643,0.9892,-0.8865,-1.6167,-0.8568,-0.6756,0.6064
TCGA-3N-A9WC-06,-1.5467,0.3053,-0.1833,-0.7885,-0.0563,0.1096,-1.0789,-0.7406,0.116,-0.8133,-0.5685,-1.5233,-2.0966,-2.123,-0.085,-0.1496,-0.7929,-0.7177,-0.7786,-0.1682,-0.8241
TCGA-3N-A9WD-06,0.18,0.0713,-0.1508,-0.2297,-0.3586,0.4655,0.3968,-0.3314,1.1336,1.7817,1.6899,-0.1439,-0.6503,0.4345,0.1124,0.1063,-0.0084,-0.1891,-1.3963,-0.7187,-0.2882
TCGA-BF-AAP0-06,0.0489,0.5127,0.8857,0.63,0.6235,0.949,-0.6162,-0.1485,0.4543,-0.0535,0.2081,-1.5233,0.7303,-0.161,-1.1873,-0.5903,0.2108,-0.7162,0.1569,0.4115,0.2989
TCGA-D3-A1Q1-06,-0.134,-1.4697,-0.9657,-1.3474,-0.8489,-1.8685,-0.3262,0.7015,-1.0564,-0.8473,-0.6875,-1.5233,-1.3792,2.2267,0.9159,0.6751,0.6326,-0.178,0.8913,0.5026,-1.2981
TCGA-D3-A1Q3-06,0.2166,-0.3394,-0.3738,-0.299,0.2011,-0.5267,-1.8021,-1.3145,-0.2049,-1.2199,0.4133,-1.5233,0.249,-1.3401,-0.9395,-0.0825,-1.3274,-1.6167,1.3257,-0.0995,0.1214
TCGA-D3-A1Q4-06,0.7166,1.5808,-1.9954,-1.3412,-0.9019,-0.5212,0.5177,0.7888,2.2645,-0.4082,-0.33,2.116,-0.3374,-0.0723,1.3016,0.1946,0.5379,-0.7705,0.2736,2.2463,-0.3405
TCGA-D3-A1Q5-06,2.1001,-0.9229,-2.2682,-1.3929,-1.1305,-0.3369,-0.1174,0.3222,-0.0141,0.2953,-1.5777,-0.8318,-0.7321,-0.3069,1.2982,-1.1774,0.8008,0.4123,0.0112,-0.2625,-1.6269
TCGA-D3-A1Q6-06,-0.5889,0.8077,-1.4689,-0.1127,-2.8792,-2.1303,1.7881,-0.8284,-0.961,2.1635,-0.1554,1.6016,-1.4525,-2.7599,1.266,-1.8348,-0.2257,-1.6167,-0.8912,-1.1802,-1.2886
TCGA-D3-A1Q7-06,0.4213,0.6069,-0.3814,0.0983,0.1102,0.1265,-1.4044,-0.023,1.1839,-0.4563,1.4931,-0.5272,0.0195,-0.6468,-1.0781,0.8458,1.0787,-0.94,0.3804,0.291,0.9679
TCGA-D3-A1Q8-06,1.8755,1.3397,0.1325,0.1864,-0.5,-0.292,1.8886,0.1475,-1.6703,0.7591,-0.5843,-0.9134,0.468,2.1664,0.8938,-0.1828,0.803,-0.2375,1.6549,1.2854,0.4894
TCGA-D3-A1Q9-06,0.0518,-0.1243,1.5627,0.028,-0.0074,-0.1009,0.186,0.5284,0.5246,-1.0235,0.8343,-1.3909,1.1362,0.2264,0.7049,-0.855,-0.9127,-1.6167,1.9703,0.2471,-1.4052
TCGA-D3-A1QA-06,-0.8482,-0.5837,0.1373,-0.3024,0.2173,0.4669,-0.8099,-1.1232,-1.0672,-1.2199,-0.4534,-1.5233,0.8256,-1.7597,-0.5439,-0.3738,-1.116,-1.6167,1.268,-0.3171,-0.6595
TCGA-D3-A1QB-06,-1.7612,-0.2126,0.4418,0.0871,0.6066,0.908,-1.2834,-0.0371,-0.1019,-1.2199,-0.2993,-1.2167,0.0882,-0.1221,-0.7297,0.1753,-1.8896,-1.6167,0.2032,0.8353,0.2853
